Date : 2023-10-11 00:02:12
Directory : c:\Users\Lenovo\Desktop\IRGC\Roydad\fitnass
Total : 106 files,  5345 codes, 342 comments, 569 blanks, all 6256 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         58 |      3,810 |         72 |        292 |      4,174 |
| C++        |         16 |        551 |        121 |        182 |        854 |
| XML        |         10 |        466 |         48 |         12 |        526 |
| JSON       |          6 |        250 |          0 |          4 |        254 |
| Groovy     |          3 |         94 |          5 |         22 |        121 |
| Swift      |          6 |         62 |          7 |         20 |         89 |
| YAML       |          2 |         46 |         73 |         21 |        140 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| Markdown   |          2 |         20 |          0 |          8 |         28 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        106 |      5,345 |        342 |        569 |      6,256 |
| . (Files)                                                                                                             |          3 |         63 |         73 |         27 |        163 |
| android                                                                                                               |         12 |        164 |         51 |         33 |        248 |
| android (Files)                                                                                                       |          3 |         46 |          0 |         11 |         57 |
| android\app                                                                                                           |          8 |        113 |         51 |         21 |        185 |
| android\app (Files)                                                                                                   |          1 |         51 |          5 |         12 |         68 |
| android\app\src                                                                                                       |          7 |         62 |         46 |          9 |        117 |
| android\app\src\debug                                                                                                 |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                                  |          5 |         56 |         38 |          7 |        101 |
| android\app\src\main (Files)                                                                                          |          1 |         30 |          6 |          1 |         37 |
| android\app\src\main\res                                                                                              |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                     |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                 |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                       |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                 |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                               |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                        |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                |          2 |          2 |          0 |          0 |          2 |
| assets\images                                                                                                         |          2 |          2 |          0 |          0 |          2 |
| ios                                                                                                                   |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                                            |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                                    |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                                       |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                            |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                         |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                       |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                 |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                   |         57 |      3,796 |         62 |        285 |      4,143 |
| lib (Files)                                                                                                           |          2 |         42 |          3 |         11 |         56 |
| lib\constants                                                                                                         |          2 |         22 |          2 |          5 |         29 |
| lib\data                                                                                                              |          1 |         36 |          1 |          6 |         43 |
| lib\models                                                                                                            |          2 |         13 |          0 |          2 |         15 |
| lib\screens                                                                                                           |         50 |      3,683 |         56 |        261 |      4,000 |
| lib\screens\bmi                                                                                                       |          6 |        462 |          2 |         42 |        506 |
| lib\screens\cart                                                                                                      |          2 |        219 |          1 |         11 |        231 |
